Date,Open,High,Low,Close,Volume
3-Jun-08,287.96,289.96,280.02,283.37,-
2-Jun-08,290.96,291.65,285.35,287.21,-
30-May-08,291.44,294.67,290.36,292.61,-
29-May-08,287.11,292.65,286.31,291.21,-
28-May-08,283.69,285.46,280.27,283.84,-
27-May-08,272.21,281.02,271.65,280.17,-
23-May-08,273.21,276.22,268.64,272.04,-
22-May-08,275.70,276.83,269.85,274.46,-
21-May-08,288.97,290.41,273.67,274.72,-
20-May-08,287.03,290.95,286.17,289.01,-
19-May-08,288.99,294.15,286.47,288.47,-
16-May-08,290.42,292.05,288.87,289.74,-
15-May-08,289.21,291.18,287.52,290.21,-
14-May-08,292.95,295.30,287.34,287.86,-
13-May-08,292.82,293.68,288.99,291.21,-
12-May-08,287.09,293.08,284.17,292.18,-
9-May-08,289.20,292.20,285.40,286.30,-
8-May-08,292.81,294.36,289.17,291.21,-
7-May-08,294.84,299.45,287.93,289.21,-
6-May-08,295.20,295.70,291.21,292.89,-
5-May-08,299.13,299.20,293.27,297.15,-
2-May-08,298.95,300.92,289.36,290.35,-
1-May-08,288.87,297.17,288.20,296.24,-
30-Apr-08,280.82,292.14,278.96,286.86,-
29-Apr-08,275.14,281.42,274.73,278.96,-
28-Apr-08,272.67,278.13,269.23,275.78,-
25-Apr-08,274.24,276.22,271.09,271.76,-
24-Apr-08,275.37,276.97,269.74,271.25,-
23-Apr-08,278.69,279.38,270.20,272.97,-
22-Apr-08,268.52,280.13,268.51,277.22,-
21-Apr-08,269.43,271.02,264.88,268.63,-
18-Apr-08,267.34,273.58,262.12,269.44,-
17-Apr-08,227.59,229.46,223.04,224.55,-
16-Apr-08,221.98,228.91,220.28,227.29,-
15-Apr-08,228.84,229.63,221.64,223.20,-
14-Apr-08,228.35,228.50,224.85,225.60,-
11-Apr-08,231.80,233.40,227.28,228.50,-
10-Apr-08,232.25,236.70,230.69,234.30,-
9-Apr-08,234.33,235.76,228.54,231.86,-
8-Apr-08,236.28,236.83,230.77,233.67,-
7-Apr-08,238.28,242.48,236.53,238.17,-
4-Apr-08,228.28,238.68,227.87,235.31,-
3-Apr-08,230.63,231.41,223.84,227.33,-
2-Apr-08,234.72,237.63,229.96,232.62,-
1-Apr-08,223.65,233.02,223.21,232.62,-
31-Mar-08,217.60,221.12,215.79,220.01,-
28-Mar-08,223.51,226.56,216.94,218.82,-
27-Mar-08,222.78,224.08,220.02,221.82,-
26-Mar-08,226.07,231.20,224.42,228.87,-
25-Mar-08,228.50,228.51,222.78,225.16,-
24-Mar-08,219.00,232.66,218.64,230.05,-
20-Mar-08,213.45,217.63,208.54,216.56,-
19-Mar-08,220.33,223.53,215.62,215.78,-
